,Genre,URL
126,Thriller,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,Fantasy,https://www.boxofficemojo.com/movies/?id=darktower.htm
128,Comedy,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,Action,https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,Comedy,https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,Action / Adventure,https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,Animation,https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,Adventure,https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,Action / Adventure,https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,Drama,https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
137,Action,https://www.boxofficemojo.com/movies/?id=geostorm.htm
138,Comedy,https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,Action Thriller,https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,Drama,https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,Comedy,https://www.boxofficemojo.com/movies/?id=itonya.htm
142,Drama,https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,Horror,https://www.boxofficemojo.com/movies/?id=rings.htm
144,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,Comedy,https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,Drama,https://www.boxofficemojo.com/movies/?id=gifted.htm
147,Horror Thriller,https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,Animation,https://www.boxofficemojo.com/movies/?id=leap.htm
150,Fantasy,https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,Action,https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,Action / Adventure,https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,Action / Adventure,https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,Action / Adventure,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,Action,https://www.boxofficemojo.com/movies/?id=furious8.htm
156,War,https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,Animation,https://www.boxofficemojo.com/movies/?id=lego2.htm
158,Musical,https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,Action / Adventure,https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
