,MPAA Rating,URL
138,R,https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,R,https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,PG-13,https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,R,https://www.boxofficemojo.com/movies/?id=itonya.htm
142,R,https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,PG-13,https://www.boxofficemojo.com/movies/?id=rings.htm
144,PG-13,https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,R,https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,PG-13,https://www.boxofficemojo.com/movies/?id=gifted.htm
147,PG-13,https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,R,https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,PG,https://www.boxofficemojo.com/movies/?id=leap.htm
150,PG,https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,PG-13,https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,PG-13,https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,PG-13,https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,PG-13,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,PG-13,https://www.boxofficemojo.com/movies/?id=furious8.htm
156,PG-13,https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,PG,https://www.boxofficemojo.com/movies/?id=lego2.htm
158,PG,https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,PG-13,https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,PG-13,https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
161,PG,https://www.boxofficemojo.com/movies/?id=wonder.htm
162,R,https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,R,https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,PG-13,https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,R,https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,R,https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,PG,https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,PG,https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,PG-13,https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,R,https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,R,https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,R,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,R,https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,PG-13,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,R,https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,R,https://www.boxofficemojo.com/movies/?id=mena.htm
177,R,https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,R,https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,PG,https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,R,https://www.boxofficemojo.com/movies/?id=tupac.htm
181,PG-13,https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,PG-13,https://www.boxofficemojo.com/movies/?id=valerian.htm
183,PG-13,https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,R,https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,R,https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,R,https://www.boxofficemojo.com/movies/?id=windriver.htm
187,PG,https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,PG-13,https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,R,https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,R,https://www.boxofficemojo.com/movies/?id=life2017.htm
191,R,https://www.boxofficemojo.com/movies/?id=hostiles.htm
