,URL,Worldwide
134,https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm,"$148,675,066"
135,https://www.boxofficemojo.com/movies/?id=americanassassin.htm,"$67,234,188"
136,https://www.boxofficemojo.com/movies/?id=everythingeverything.htm,"$61,621,140"
137,https://www.boxofficemojo.com/movies/?id=geostorm.htm,"$221,600,160"
138,https://www.boxofficemojo.com/movies/?id=fistfight.htm,"$41,087,017"
139,https://www.boxofficemojo.com/movies/?id=kidnap2015.htm,"$30,718,107"
140,https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm,"$62,832,209"
141,https://www.boxofficemojo.com/movies/?id=itonya.htm,"$53,939,297"
142,https://www.boxofficemojo.com/movies/?id=mollysgame.htm,"$59,284,015"
143,https://www.boxofficemojo.com/movies/?id=rings.htm,"$83,080,890"
144,https://www.boxofficemojo.com/movies/?id=homeagain.htm,"$27,020,284"
145,https://www.boxofficemojo.com/movies/?id=thehouse.htm,"$34,184,504"
146,https://www.boxofficemojo.com/movies/?id=gifted.htm,"$43,046,590"
147,https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm,"$26,667,197"
148,https://www.boxofficemojo.com/movies/?id=rockthatbody.htm,"$47,347,283"
149,https://www.boxofficemojo.com/movies/?id=leap.htm,"$106,055,487"
150,https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm,"$1,263,521,126"
151,https://www.boxofficemojo.com/movies/?id=jumanji2016.htm,"$962,077,546"
152,https://www.boxofficemojo.com/movies/?id=spiderman2017.htm,"$880,166,924"
153,https://www.boxofficemojo.com/movies/?id=marvel2017.htm,"$853,977,126"
154,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm,"$657,924,295"
155,https://www.boxofficemojo.com/movies/?id=furious8.htm,"$1,236,005,118"
156,https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm,"$527,268,280"
157,https://www.boxofficemojo.com/movies/?id=lego2.htm,"$311,950,384"
158,https://www.boxofficemojo.com/movies/?id=greatestshowman.htm,"$434,993,183"
159,https://www.boxofficemojo.com/movies/?id=legendary2016.htm,"$566,652,812"
160,https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm,"$490,719,763"
161,https://www.boxofficemojo.com/movies/?id=wonder.htm,"$305,900,041"
162,https://www.boxofficemojo.com/movies/?id=girltrip.htm,"$140,376,621"
163,https://www.boxofficemojo.com/movies/?id=babydriver.htm,"$226,945,087"
164,https://www.boxofficemojo.com/movies/?id=daddyshome2.htm,"$180,613,180"
165,https://www.boxofficemojo.com/movies/?id=annabelle2.htm,"$306,515,884"
166,https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm,"$259,239,658"
167,https://www.boxofficemojo.com/movies/?id=theemojimovie.htm,"$217,776,646"
168,https://www.boxofficemojo.com/movies/?id=ferdinand.htm,"$296,069,199"
169,https://www.boxofficemojo.com/movies/?id=mummy2016.htm,"$409,231,607"
170,https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm,"$240,891,763"
171,https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm,"$130,560,428"
172,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm,"$195,243,464"
173,https://www.boxofficemojo.com/movies/?id=baywatch.htm,"$177,856,751"
174,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm,"$150,203,176"
175,https://www.boxofficemojo.com/movies/?id=threebillboards.htm,"$159,210,164"
176,https://www.boxofficemojo.com/movies/?id=mena.htm,"$134,866,593"
177,https://www.boxofficemojo.com/movies/?id=ladybird.htm,"$78,606,307"
178,https://www.boxofficemojo.com/movies/?id=motherdaughter.htm,"$60,845,711"
179,https://www.boxofficemojo.com/movies/?id=smurfs3.htm,"$197,183,546"
180,https://www.boxofficemojo.com/movies/?id=tupac.htm,"$44,922,302"
181,https://www.boxofficemojo.com/movies/?id=47metersdown.htm,"$44,307,192"
182,https://www.boxofficemojo.com/movies/?id=valerian.htm,"$225,874,228"
183,https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm,"$169,801,921"
184,https://www.boxofficemojo.com/movies/?id=saw2017.htm,"$102,952,888"
185,https://www.boxofficemojo.com/movies/?id=theforeigner.htm,"$145,374,099"
186,https://www.boxofficemojo.com/movies/?id=windriver.htm,"$33,800,859"
187,https://www.boxofficemojo.com/movies/?id=monstertrucks.htm,"$64,493,915"
188,https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm,"$61,881,372"
189,https://www.boxofficemojo.com/movies/?id=underworld5.htm,"$81,093,313"
190,https://www.boxofficemojo.com/movies/?id=life2017.htm,"$100,541,806"
191,https://www.boxofficemojo.com/movies/?id=hostiles.htm,"$29,819,114"
