,Opening Weekend Gross,URL
200,"$155,081,681",https://www.boxofficemojo.com/movies/?id=starwars2016.htm
201,"$179,139,142",https://www.boxofficemojo.com/movies/?id=marvel2016.htm
202,"$103,261,464",https://www.boxofficemojo.com/movies/?id=junglebook2015.htm
203,"$75,063,401",https://www.boxofficemojo.com/movies/?id=disney2016.htm
204,"$133,682,248",https://www.boxofficemojo.com/movies/?id=dc2016.htm
205,"$56,631,401",https://www.boxofficemojo.com/movies/?id=disney1116.htm
206,"$85,058,311",https://www.boxofficemojo.com/movies/?id=marvel716.htm
207,"$59,215,365",https://www.boxofficemojo.com/movies/?id=bourne5.htm
208,"$65,769,562",https://www.boxofficemojo.com/movies/?id=x-men2016.htm
209,,https://www.boxofficemojo.com/movies/?id=lalaland.htm
210,"$46,018,755",https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm
211,"$38,527,856",https://www.boxofficemojo.com/movies/?id=tarzan2016.htm
212,"$23,817,340",https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm
213,"$41,039,944",https://www.boxofficemojo.com/movies/?id=id42.htm
214,"$24,074,047",https://www.boxofficemojo.com/movies/?id=arrival2016.htm
215,"$34,263,534",https://www.boxofficemojo.com/movies/?id=sausageparty.htm
216,"$35,243,095",https://www.boxofficemojo.com/movies/?id=ridealong2.htm
217,"$28,871,140",https://www.boxofficemojo.com/movies/?id=peregrine.htm
218,"$35,316,382",https://www.boxofficemojo.com/movies/?id=tmnt2016.htm
219,"$26,858,726",https://www.boxofficemojo.com/movies/?id=alice2.htm
220,"$24,536,265",https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm
221,"$21,311,407",https://www.boxofficemojo.com/movies/?id=storks.htm
222,"$21,688,103",https://www.boxofficemojo.com/movies/?id=newline0116.htm
223,"$29,027,348",https://www.boxofficemojo.com/movies/?id=allegiant.htm
224,"$21,373,064",https://www.boxofficemojo.com/movies/?id=iceage5.htm
225,"$21,635,601",https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm
226,"$20,223,544",https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm
227,"$17,861,950",https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm
228,,https://www.boxofficemojo.com/movies/?id=fences.htm
229,"$18,775,350",https://www.boxofficemojo.com/movies/?id=bfg.htm
230,"$16,800,868",https://www.boxofficemojo.com/movies/?id=theshallows.htm
231,"$10,278,225",https://www.boxofficemojo.com/movies/?id=assassinscreed.htm
232,"$16,194,738",https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
233,"$19,445,035",https://www.boxofficemojo.com/movies/?id=huntsman.htm
234,,https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm
235,"$17,878,911",https://www.boxofficemojo.com/movies/?id=howtobesingle.htm
236,"$14,685,305",https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm
237,"$14,788,157",https://www.boxofficemojo.com/movies/?id=moneymonster.htm
238,"$9,445,456",https://www.boxofficemojo.com/movies/?id=nerve.htm
239,"$11,203,270",https://www.boxofficemojo.com/movies/?id=niceguys.htm
240,"$11,111,875",https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm
241,"$10,326,356",https://www.boxofficemojo.com/movies/?id=5thwave.htm
242,"$8,369,184",https://www.boxofficemojo.com/movies/?id=mothersday.htm
243,"$14,123,903",https://www.boxofficemojo.com/movies/?id=godsofegypt.htm
244,"$11,355,225",https://www.boxofficemojo.com/movies/?id=hailcaesar.htm
245,"$13,841,146",https://www.boxofficemojo.com/movies/?id=zoolander2.htm
246,"$10,288,932",https://www.boxofficemojo.com/movies/?id=finesthours.htm
247,,https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm
248,"$11,203,815",https://www.boxofficemojo.com/movies/?id=benhur2016.htm
249,"$8,571,785",https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm
250,"$135,060,273",https://www.boxofficemojo.com/movies/?id=pixar2015.htm
251,"$104,352,905",https://www.boxofficemojo.com/movies/?id=illumination2015.htm
252,"$132,434,639",https://www.boxofficemojo.com/movies/?id=deadpool2016.htm
253,"$166,007,347",https://www.boxofficemojo.com/movies/?id=superman2015.htm
254,"$35,258,145",https://www.boxofficemojo.com/movies/?id=illumination2016.htm
255,"$74,403,387",https://www.boxofficemojo.com/movies/?id=fantasticbeasts.htm
256,,https://www.boxofficemojo.com/movies/?id=hiddenfigures.htm
257,"$59,253,211",https://www.boxofficemojo.com/movies/?id=startrek2016.htm
258,"$46,581,142",https://www.boxofficemojo.com/movies/?id=trolls.htm
259,"$41,282,042",https://www.boxofficemojo.com/movies/?id=kungfupanda3.htm
260,"$35,535,250",https://www.boxofficemojo.com/movies/?id=centralintelligence.htm
261,"$35,028,301",https://www.boxofficemojo.com/movies/?id=sully.htm
262,"$38,155,177",https://www.boxofficemojo.com/movies/?id=angrybirds.htm
263,"$40,406,314",https://www.boxofficemojo.com/movies/?id=conjuring2.htm
264,"$14,869,736",https://www.boxofficemojo.com/movies/?id=passengers2016.htm
265,"$34,703,397",https://www.boxofficemojo.com/movies/?id=themagnificentseven.htm
266,"$26,411,706",https://www.boxofficemojo.com/movies/?id=dontbreathe.htm
267,"$24,710,273",https://www.boxofficemojo.com/movies/?id=theaccountant.htm
268,"$31,515,110",https://www.boxofficemojo.com/movies/?id=purge3.htm
269,"$21,514,095",https://www.boxofficemojo.com/movies/?id=petesdragon2016.htm
270,"$28,501,448",https://www.boxofficemojo.com/movies/?id=booamadeahalloween.htm
271,"$24,727,437",https://www.boxofficemojo.com/movies/?id=badrobot2016.htm
272,"$15,190,758",https://www.boxofficemojo.com/movies/?id=hacksawridge.htm
273,"$22,383,146",https://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm
274,"$23,586,645",https://www.boxofficemojo.com/movies/?id=michelledarnell.htm
275,"$14,812,393",https://www.boxofficemojo.com/movies/?id=miraclesfromheaven.htm
276,"$11,002,986",https://www.boxofficemojo.com/movies/?id=whyhim.htm
277,"$22,872,490",https://www.boxofficemojo.com/movies/?id=jackreacher2.htm
278,"$18,723,269",https://www.boxofficemojo.com/movies/?id=mebeforeyou.htm
279,"$21,760,405",https://www.boxofficemojo.com/movies/?id=universalcomedy2016.htm
280,"$16,890,204",https://www.boxofficemojo.com/movies/?id=officechristmasparty.htm
281,"$20,242,415",https://www.boxofficemojo.com/movies/?id=barbershop3.htm
282,,https://www.boxofficemojo.com/movies/?id=lion.htm
283,"$12,608,372",https://www.boxofficemojo.com/movies/?id=kuboandthetwostrings.htm
284,"$24,166,110",https://www.boxofficemojo.com/movies/?id=warcraft.htm
285,"$16,628,170",https://www.boxofficemojo.com/movies/?id=mikeanddave.htm
286,"$15,134,235",https://www.boxofficemojo.com/movies/?id=ameyerschristmas.htm
287,"$12,701,743",https://www.boxofficemojo.com/movies/?id=pittcotillard.htm
288,"$11,801,271",https://www.boxofficemojo.com/movies/?id=risen.htm
289,"$10,778,392",https://www.boxofficemojo.com/movies/?id=boy2016.htm
290,"$14,065,500",https://www.boxofficemojo.com/movies/?id=blumhouse3.htm
291,"$14,860,425",https://www.boxofficemojo.com/movies/?id=inferno2015.htm
292,,https://www.boxofficemojo.com/movies/?id=patriotsday.htm
293,"$7,102,085",https://www.boxofficemojo.com/movies/?id=collateralbeauty.htm
294,"$14,202,323",https://www.boxofficemojo.com/movies/?id=whentheboughbreaks.htm
295,,https://www.boxofficemojo.com/movies/?id=moonlight2016.htm
296,"$6,601,313",https://www.boxofficemojo.com/movies/?id=florencefosterjenkins.htm
297,"$12,741,176",https://www.boxofficemojo.com/movies/?id=forest.htm
298,"$8,800,230",https://www.boxofficemojo.com/movies/?id=thewitch.htm
299,"$11,767,210",https://www.boxofficemojo.com/movies/?id=kevinhart2016.htm
300,"$247,966,675",https://www.boxofficemojo.com/movies/?id=starwars7.htm
301,"$191,271,109",https://www.boxofficemojo.com/movies/?id=avengers2.htm
302,"$147,187,040",https://www.boxofficemojo.com/movies/?id=fast7.htm
