,Genres,URL
138,[],https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,[],https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,[],https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,"['Nominated for Three Oscars, Including One Win.']",https://www.boxofficemojo.com/movies/?id=itonya.htm
142,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,[],https://www.boxofficemojo.com/movies/?id=rings.htm
144,[],https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,[],https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,[],https://www.boxofficemojo.com/movies/?id=gifted.htm
147,[],https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,[],https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,[],https://www.boxofficemojo.com/movies/?id=leap.htm
150,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,[],https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,['Comedy - High School'],https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,['Fantasy - Live Action'],https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,[],https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,['Car Racing'],https://www.boxofficemojo.com/movies/?id=furious8.htm
156,"['Nominated for Eight Oscars, Including Three Wins.']",https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,['Toy Adaptation'],https://www.boxofficemojo.com/movies/?id=lego2.htm
158,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
161,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=wonder.htm
162,['Showdown: Girls Trip v. Bad Moms & Bridesmaids'],https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,['Nominated for Three Oscars.'],https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,['Christmas'],https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,['Horror - Period'],https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,"['Nominated for Five Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,[],https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,['Adventure Remake'],https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,['Sci-Fi Horror'],https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,['Mother'],https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,"['Nominated for Thirteen Oscars, Including Four Wins.']",https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,[],https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,"['Nominated for Six Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,"['Nominated for Seven Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,[],https://www.boxofficemojo.com/movies/?id=mena.htm
177,['Nominated for Five Oscars.'],https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,[],https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,['Animation - TV Adaptation'],https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,"['Biopic - Music', 'Rap / Rapper']",https://www.boxofficemojo.com/movies/?id=tupac.htm
181,"['Horror - Terror in the Water', 'Shark', 'Underwater']",https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,[],https://www.boxofficemojo.com/movies/?id=valerian.htm
183,['Remake - Asian'],https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,[],https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,[],https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,[],https://www.boxofficemojo.com/movies/?id=windriver.htm
187,[],https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,[],https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,[],https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,[],https://www.boxofficemojo.com/movies/?id=life2017.htm
191,[],https://www.boxofficemojo.com/movies/?id=hostiles.htm
192,[],https://www.boxofficemojo.com/movies/?id=nutjob2.htm
193,[],https://www.boxofficemojo.com/movies/?id=loganlucky.htm
194,[],https://www.boxofficemojo.com/movies/?id=residentevil6.htm
195,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm
196,[],https://www.boxofficemojo.com/movies/?id=downsizing.htm
197,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm
198,[],https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm
199,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm
200,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=starwars2016.htm
201,"['Comic Book Adaptation', 'Superhero']",https://www.boxofficemojo.com/movies/?id=marvel2016.htm
202,"['Nominated for One Oscar, Including One Win.']",https://www.boxofficemojo.com/movies/?id=junglebook2015.htm
203,"['Nominated for One Oscar, Including One Win.']",https://www.boxofficemojo.com/movies/?id=disney2016.htm
204,"['Nominated for One Oscar, Including One Win.']",https://www.boxofficemojo.com/movies/?id=dc2016.htm
205,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=disney1116.htm
206,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=marvel716.htm
207,['Hitman / Assassin'],https://www.boxofficemojo.com/movies/?id=bourne5.htm
208,[],https://www.boxofficemojo.com/movies/?id=x-men2016.htm
209,"['Nominated for Fourteen Oscars, Including Six Wins.']",https://www.boxofficemojo.com/movies/?id=lalaland.htm
210,"['Comedy Remake', 'Controversy', 'Horror Comedy']",https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm
211,[],https://www.boxofficemojo.com/movies/?id=tarzan2016.htm
212,['Mother'],https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm
213,[],https://www.boxofficemojo.com/movies/?id=id42.htm
214,"['Nominated for Eight Oscars, Including One Win.']",https://www.boxofficemojo.com/movies/?id=arrival2016.htm
215,[],https://www.boxofficemojo.com/movies/?id=sausageparty.htm
216,[],https://www.boxofficemojo.com/movies/?id=ridealong2.htm
217,[],https://www.boxofficemojo.com/movies/?id=peregrine.htm
218,[],https://www.boxofficemojo.com/movies/?id=tmnt2016.htm
