,Domestic,URL
137,"$33,700,160",https://www.boxofficemojo.com/movies/?id=geostorm.htm
138,"$32,187,017",https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,"$30,718,107",https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,"$30,348,555",https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,"$30,014,539",https://www.boxofficemojo.com/movies/?id=itonya.htm
142,"$28,780,744",https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,"$27,793,018",https://www.boxofficemojo.com/movies/?id=rings.htm
144,"$27,020,284",https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,"$25,584,504",https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,"$24,801,212",https://www.boxofficemojo.com/movies/?id=gifted.htm
147,"$22,395,806",https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,"$22,105,643",https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,"$24,702,560",https://www.boxofficemojo.com/movies/?id=leap.htm
150,"$504,014,165",https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,"$404,515,480",https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,"$334,201,140",https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,"$315,058,289",https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,"$229,024,295",https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,"$226,008,385",https://www.boxofficemojo.com/movies/?id=furious8.htm
156,"$190,068,280",https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,"$175,750,384",https://www.boxofficemojo.com/movies/?id=lego2.htm
158,"$174,340,174",https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,"$168,052,812",https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,"$146,880,162",https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
161,"$132,422,809",https://www.boxofficemojo.com/movies/?id=wonder.htm
162,"$115,171,585",https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,"$107,825,862",https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,"$104,029,443",https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,"$102,092,201",https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,"$92,054,159",https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,"$86,089,513",https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,"$84,410,380",https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,"$80,227,895",https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,"$74,262,031",https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,"$72,110,659",https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,"$63,859,435",https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,"$58,060,186",https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,"$56,468,410",https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,"$54,513,740",https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,"$51,342,000",https://www.boxofficemojo.com/movies/?id=mena.htm
177,"$48,958,273",https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,"$45,852,178",https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,"$45,020,282",https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,"$44,922,302",https://www.boxofficemojo.com/movies/?id=tupac.htm
181,"$44,307,192",https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,"$41,189,488",https://www.boxofficemojo.com/movies/?id=valerian.htm
183,"$40,563,557",https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,"$38,052,832",https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,"$34,393,507",https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,"$33,800,859",https://www.boxofficemojo.com/movies/?id=windriver.htm
187,"$33,370,166",https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,"$32,149,404",https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,"$30,353,973",https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,"$30,234,022",https://www.boxofficemojo.com/movies/?id=life2017.htm
191,"$29,819,114",https://www.boxofficemojo.com/movies/?id=hostiles.htm
192,"$28,370,522",https://www.boxofficemojo.com/movies/?id=nutjob2.htm
193,"$27,780,977",https://www.boxofficemojo.com/movies/?id=loganlucky.htm
194,"$26,830,068",https://www.boxofficemojo.com/movies/?id=residentevil6.htm
195,"$25,113,707",https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm
196,"$24,449,754",https://www.boxofficemojo.com/movies/?id=downsizing.htm
197,"$22,245,070",https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm
198,"$21,885,107",https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm
199,"$21,120,616",https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm
200,"$532,177,324",https://www.boxofficemojo.com/movies/?id=starwars2016.htm
201,"$408,084,349",https://www.boxofficemojo.com/movies/?id=marvel2016.htm
202,"$364,001,123",https://www.boxofficemojo.com/movies/?id=junglebook2015.htm
203,"$341,268,248",https://www.boxofficemojo.com/movies/?id=disney2016.htm
204,"$325,100,054",https://www.boxofficemojo.com/movies/?id=dc2016.htm
205,"$248,757,044",https://www.boxofficemojo.com/movies/?id=disney1116.htm
206,"$232,641,920",https://www.boxofficemojo.com/movies/?id=marvel716.htm
207,"$162,434,410",https://www.boxofficemojo.com/movies/?id=bourne5.htm
208,"$155,442,489",https://www.boxofficemojo.com/movies/?id=x-men2016.htm
209,"$151,101,803",https://www.boxofficemojo.com/movies/?id=lalaland.htm
210,"$128,350,574",https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm
211,"$126,643,061",https://www.boxofficemojo.com/movies/?id=tarzan2016.htm
212,"$113,257,297",https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm
213,"$103,144,286",https://www.boxofficemojo.com/movies/?id=id42.htm
214,"$100,546,139",https://www.boxofficemojo.com/movies/?id=arrival2016.htm
215,"$97,685,686",https://www.boxofficemojo.com/movies/?id=sausageparty.htm
216,"$91,221,830",https://www.boxofficemojo.com/movies/?id=ridealong2.htm
217,"$87,242,834",https://www.boxofficemojo.com/movies/?id=peregrine.htm
218,"$82,051,601",https://www.boxofficemojo.com/movies/?id=tmnt2016.htm
219,"$77,041,381",https://www.boxofficemojo.com/movies/?id=alice2.htm
220,"$75,395,035",https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm
221,"$72,679,278",https://www.boxofficemojo.com/movies/?id=storks.htm
222,"$67,268,835",https://www.boxofficemojo.com/movies/?id=newline0116.htm
223,"$66,184,051",https://www.boxofficemojo.com/movies/?id=allegiant.htm
224,"$64,063,008",https://www.boxofficemojo.com/movies/?id=iceage5.htm
225,"$62,678,608",https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm
226,"$61,433,527",https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm
227,"$59,689,605",https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm
228,"$57,682,904",https://www.boxofficemojo.com/movies/?id=fences.htm
229,"$55,483,770",https://www.boxofficemojo.com/movies/?id=bfg.htm
230,"$55,124,043",https://www.boxofficemojo.com/movies/?id=theshallows.htm
231,"$54,647,948",https://www.boxofficemojo.com/movies/?id=assassinscreed.htm
232,"$52,853,219",https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
233,"$48,390,190",https://www.boxofficemojo.com/movies/?id=huntsman.htm
234,"$47,695,371",https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm
235,"$46,843,513",https://www.boxofficemojo.com/movies/?id=howtobesingle.htm
236,"$43,034,523",https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm
237,"$41,012,075",https://www.boxofficemojo.com/movies/?id=moneymonster.htm
238,"$38,583,626",https://www.boxofficemojo.com/movies/?id=nerve.htm
239,"$36,261,763",https://www.boxofficemojo.com/movies/?id=niceguys.htm
240,"$35,593,113",https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm
241,"$34,916,787",https://www.boxofficemojo.com/movies/?id=5thwave.htm
242,"$32,492,859",https://www.boxofficemojo.com/movies/?id=mothersday.htm
243,"$31,153,464",https://www.boxofficemojo.com/movies/?id=godsofegypt.htm
244,"$30,498,085",https://www.boxofficemojo.com/movies/?id=hailcaesar.htm
245,"$28,848,693",https://www.boxofficemojo.com/movies/?id=zoolander2.htm
246,"$27,569,558",https://www.boxofficemojo.com/movies/?id=finesthours.htm
247,"$27,007,844",https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm
248,"$26,410,477",https://www.boxofficemojo.com/movies/?id=benhur2016.htm
249,"$24,252,420",https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm
250,"$486,295,561",https://www.boxofficemojo.com/movies/?id=pixar2015.htm
