,URL,Widest Theaters
157,https://www.boxofficemojo.com/movies/?id=lego2.htm,"4,088 theaters"
158,https://www.boxofficemojo.com/movies/?id=greatestshowman.htm,"3,342 theaters"
159,https://www.boxofficemojo.com/movies/?id=legendary2016.htm,"3,846 theaters"
160,https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm,"4,100 theaters"
161,https://www.boxofficemojo.com/movies/?id=wonder.htm,"3,519 theaters"
162,https://www.boxofficemojo.com/movies/?id=girltrip.htm,"2,648 theaters"
163,https://www.boxofficemojo.com/movies/?id=babydriver.htm,"3,226 theaters"
164,https://www.boxofficemojo.com/movies/?id=daddyshome2.htm,"3,575 theaters"
165,https://www.boxofficemojo.com/movies/?id=annabelle2.htm,"3,565 theaters"
166,https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm,"4,058 theaters"
167,https://www.boxofficemojo.com/movies/?id=theemojimovie.htm,"4,075 theaters"
168,https://www.boxofficemojo.com/movies/?id=ferdinand.htm,"3,630 theaters"
169,https://www.boxofficemojo.com/movies/?id=mummy2016.htm,"4,035 theaters"
170,https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm,"3,772 theaters"
171,https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm,"3,615 theaters"
172,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm,"$166,564"
173,https://www.boxofficemojo.com/movies/?id=baywatch.htm,"3,647 theaters"
174,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm,"$175,006"
175,https://www.boxofficemojo.com/movies/?id=threebillboards.htm,"$322,168"
176,https://www.boxofficemojo.com/movies/?id=mena.htm,"3,098 theaters"
177,https://www.boxofficemojo.com/movies/?id=ladybird.htm,"$364,437"
178,https://www.boxofficemojo.com/movies/?id=motherdaughter.htm,"3,511 theaters"
179,https://www.boxofficemojo.com/movies/?id=smurfs3.htm,"3,610 theaters"
180,https://www.boxofficemojo.com/movies/?id=tupac.htm,"2,471 theaters"
181,https://www.boxofficemojo.com/movies/?id=47metersdown.htm,"2,471 theaters"
182,https://www.boxofficemojo.com/movies/?id=valerian.htm,"3,553 theaters"
183,https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm,"3,440 theaters"
184,https://www.boxofficemojo.com/movies/?id=saw2017.htm,"2,941 theaters"
185,https://www.boxofficemojo.com/movies/?id=theforeigner.htm,"2,515 theaters"
186,https://www.boxofficemojo.com/movies/?id=windriver.htm,"$161,558"
187,https://www.boxofficemojo.com/movies/?id=monstertrucks.htm,"3,119 theaters"
188,https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm,"1,203 theaters"
189,https://www.boxofficemojo.com/movies/?id=underworld5.htm,"3,070 theaters"
190,https://www.boxofficemojo.com/movies/?id=life2017.htm,"3,146 theaters"
191,https://www.boxofficemojo.com/movies/?id=hostiles.htm,"$22,849"
192,https://www.boxofficemojo.com/movies/?id=nutjob2.htm,"4,003 theaters"
193,https://www.boxofficemojo.com/movies/?id=loganlucky.htm,"3,031 theaters"
194,https://www.boxofficemojo.com/movies/?id=residentevil6.htm,"3,104 theaters"
195,https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm,"2,123 theaters"
196,https://www.boxofficemojo.com/movies/?id=downsizing.htm,"2,668 theaters"
197,https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm,"$158,845"
198,https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm,"2,528 theaters"
